"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"    Females","","","","","","","","","",""
"        Estimate","53,907","464","1,917","12,695","11,496","7,215","11,812","8,308","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","0.9%","3.6%","23.5%","21.3%","13.4%","21.9%","15.4%","95.6%","37.3%"
"Rockingham County, New Hampshire","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","219,845","3,731","7,455","55,536","39,763","24,712","55,134","33,514","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.7%","3.4%","25.3%","18.1%","11.2%","25.1%","15.2%","94.9%","40.3%"
"    Males","","","","","","","","","",""
"        Estimate","107,077","1,723","4,840","26,523","19,115","11,933","27,519","15,424","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.6%","4.5%","24.8%","17.9%","11.1%","25.7%","14.4%","93.9%","40.1%"
"    Females","","","","","","","","","",""
"        Estimate","112,768","2,008","2,615","29,013","20,648","12,779","27,615","18,090","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.8%","2.3%","25.7%","18.3%","11.3%","24.5%","16.0%","95.9%","40.5%"
"Strafford County, New Hampshire","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","83,065","1,458","3,463","22,465","17,924","8,710","17,841","11,204","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.8%","4.2%","27.0%","21.6%","10.5%","21.5%","13.5%","94.1%","35.0%"
"    Males","","","","","","","","","",""
"        Estimate","40,396","1,185","1,694","10,617","7,682","4,469","8,864","5,885","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.9%","4.2%","26.3%","19.0%","11.1%","21.9%","14.6%","92.9%","36.5%"
"    Females","","","","","","","","","",""
"        Estimate","42,669","273","1,769","11,848","10,242","4,241","8,977","5,319","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","0.6%","4.1%","27.8%","24.0%","9.9%","21.0%","12.5%","95.2%","33.5%"
"Atlantic County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","186,643","8,101","13,289","61,796","39,479","12,433","34,457","17,088","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.3%","7.1%","33.1%","21.2%","6.7%","18.5%","9.2%","88.5%","27.6%"
"    Males","","","","","","","","","",""
"        Estimate","88,302","3,506","6,545","30,071","20,333","5,041","15,329","7,477","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.0%","7.4%","34.1%","23.0%","5.7%","17.4%","8.5%","88.6%","25.8%"
"    Females","","","","","","","","","",""
"        Estimate","98,341","4,595","6,744","31,725","19,146","7,392","19,128","9,611","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.7%","6.9%","32.3%","19.5%","7.5%","19.5%","9.8%","88.5%","29.2%"
"Bergen County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","660,788","27,664","24,347","147,460","98,110","38,180","200,826","124,201","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.2%","3.7%","22.3%","14.8%","5.8%","30.4%","18.8%","92.1%","49.2%"
"    Males","","","","","","","","","",""
"        Estimate","313,009","12,971","10,780","67,843","47,945","15,868","95,308","62,294","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.1%","3.4%","21.7%","15.3%","5.1%","30.4%","19.9%","92.4%","50.4%"
"    Females","","","","","","","","","",""
"        Estimate","347,779","14,693","13,567","79,617","50,165","22,312","105,518","61,907","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.2%","3.9%","22.9%","14.4%","6.4%","30.3%","17.8%","91.9%","48.1%"
"Burlington County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","315,389","6,310","13,659","93,685","58,027","26,501","74,421","42,786","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.0%","4.3%","29.7%","18.4%","8.4%","23.6%","13.6%","93.7%","37.2%"
"    Males","","","","","","","","","",""
"        Estimate","151,684","2,818","6,527","49,279","27,732","11,334","33,061","20,933","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.3%","32.5%","18.3%","7.5%","21.8%","13.8%","93.8%","35.6%"
"    Females","","","","","","","","","",""
"        Estimate","163,705","3,492","7,132","44,406","30,295","15,167","41,360","21,853","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.1%","4.4%","27.1%","18.5%","9.3%","25.3%","13.3%","93.5%","38.6%"
"Camden County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","349,245","13,543","25,365","106,532","70,590","23,568","70,321","39,326","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.9%","7.3%","30.5%","20.2%","6.7%","20.1%","11.3%","88.9%","31.4%"
"    Males","","","","","","","","","",""
"        Estimate","164,457","5,688","14,287","52,110","33,731","8,838","31,469","18,334","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.5%","8.7%","31.7%","20.5%","5.4%","19.1%","11.1%","87.9%","30.3%"
"    Females","","","","","","","","","",""
"        Estimate","184,788","7,855","11,078","54,422","36,859","14,730","38,852","20,992","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.3%","6.0%","29.5%","19.9%","8.0%","21.0%","11.4%","89.8%","32.4%"
"Cape May County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","70,487","2,443","3,930","22,479","13,502","5,910","14,677","7,546","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.5%","5.6%","31.9%","19.2%","8.4%","20.8%","10.7%","91.0%","31.5%"
"    Males","","","","","","","","","",""
"        Estimate","33,119","1,667","1,676","10,602","6,668","2,050","6,552","3,904","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.0%","5.1%","32.0%","20.1%","6.2%","19.8%","11.8%","89.9%","31.6%"
"    Females","","","","","","","","","",""
"        Estimate","37,368","776","2,254","11,877","6,834","3,860","8,125","3,642","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.1%","6.0%","31.8%","18.3%","10.3%","21.7%","9.7%","91.9%","31.5%"
"Cumberland County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","104,422","10,580","13,298","40,408","17,980","7,724","10,453","3,979","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","10.1%","12.7%","38.7%","17.2%","7.4%","10.0%","3.8%","77.1%","13.8%"
"    Males","","","","","","","","","",""
"        Estimate","53,178","5,865","7,787","22,508","8,590","2,762","3,747","1,919","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","11.0%","14.6%","42.3%","16.2%","5.2%","7.0%","3.6%","74.3%","10.7%"
"    Females","","","","","","","","","",""
"        Estimate","51,244","4,715","5,511","17,900","9,390","4,962","6,706","2,060","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.2%","10.8%","34.9%","18.3%","9.7%","13.1%","4.0%","80.0%","17.1%"
"Essex County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","534,056","38,685","37,024","148,768","94,995","32,216","107,483","74,885","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.2%","6.9%","27.9%","17.8%","6.0%","20.1%","14.0%","85.8%","34.1%"
"    Males","","","","","","","","","",""
"        Estimate","249,553","19,050","18,205","71,618","42,809","13,740","50,074","34,057","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.6%","7.3%","28.7%","17.2%","5.5%","20.1%","13.6%","85.1%","33.7%"
"    Females","","","","","","","","","",""
"        Estimate","284,503","19,635","18,819","77,150","52,186","18,476","57,409","40,828","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.9%","6.6%","27.1%","18.3%","6.5%","20.2%","14.4%","86.5%","34.5%"
"Gloucester County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","200,633","5,330","9,926","68,480","36,071","18,594","41,256","20,976","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.7%","4.9%","34.1%","18.0%","9.3%","20.6%","10.5%","92.4%","31.0%"
"    Males","","","","","","","","","",""
"        Estimate","94,933","2,352","5,231","33,248","18,845","8,244","18,032","8,981","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.5%","5.5%","35.0%","19.9%","8.7%","19.0%","9.5%","92.0%","28.5%"
"    Females","","","","","","","","","",""
"        Estimate","105,700","2,978","4,695","35,232","17,226","10,350","23,224","11,995","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.8%","4.4%","33.3%","16.3%","9.8%","22.0%","11.3%","92.7%","33.3%"
"Hudson County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","482,166","45,357","28,839","127,934","61,797","22,219","120,365","75,655","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","9.4%","6.0%","26.5%","12.8%","4.6%","25.0%","15.7%","84.6%","40.7%"
"    Males","","","","","","","","","",""
"        Estimate","236,384","20,031","14,498","63,756","33,388","9,211","58,066","37,434","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.5%","6.1%","27.0%","14.1%","3.9%","24.6%","15.8%","85.4%","40.4%"
"    Females","","","","","","","","","",""
"        Estimate","245,782","25,326","14,341","64,178","28,409","13,008","62,299","38,221","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","10.3%","5.8%","26.1%","11.6%","5.3%","25.3%","15.6%","83.9%","40.9%"
"Hunterdon County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","88,182","1,735","2,724","19,790","13,069","4,546","26,331","19,987","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.0%","3.1%","22.4%","14.8%","5.2%","29.9%","22.7%","94.9%","52.5%"
"    Males","","","","","","","","","",""
"        Estimate","42,593","714","1,591","9,884","5,858","1,864","12,587","10,095","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.7%","3.7%","23.2%","13.8%","4.4%","29.6%","23.7%","94.6%","53.3%"
"    Females","","","","","","","","","",""
"        Estimate","45,589","1,021","1,133","9,906","7,211","2,682","13,744","9,892","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.2%","2.5%","21.7%","15.8%","5.9%","30.1%","21.7%","95.3%","51.8%"
"Mercer County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","249,778","14,384","12,975","63,215","38,955","13,589","55,324","51,336","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.8%","5.2%","25.3%","15.6%","5.4%","22.1%","20.6%","89.0%","42.7%"
"    Males","","","","","","","","","",""
"        Estimate","120,264","8,614","6,621","29,973","17,501","5,719","25,096","26,740","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.2%","5.5%","24.9%","14.6%","4.8%","20.9%","22.2%","87.3%","43.1%"
"    Females","","","","","","","","","",""
"        Estimate","129,514","5,770","6,354","33,242","21,454","7,870","30,228","24,596","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.5%","4.9%","25.7%","16.6%","6.1%","23.3%","19.0%","90.6%","42.3%"
"Middlesex County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","574,999","27,572","30,188","152,177","87,709","34,975","146,943","95,435","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.8%","5.3%","26.5%","15.3%","6.1%","25.6%","16.6%","90.0%","42.2%"
"    Males","","","","","","","","","",""
"        Estimate","278,299","11,056","16,559","74,633","43,942","14,193","68,895","49,021","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.0%","6.0%","26.8%","15.8%","5.1%","24.8%","17.6%","90.1%","42.4%"
"    Females","","","","","","","","","",""
"        Estimate","296,700","16,516","13,629","77,544","43,767","20,782","78,048","46,414","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.6%","4.6%","26.1%","14.8%","7.0%","26.3%","15.6%","89.8%","41.9%"
"Monmouth County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","436,927","15,309","19,044","105,325","74,991","29,801","115,355","77,102","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.5%","4.4%","24.1%","17.2%","6.8%","26.4%","17.6%","92.1%","44.0%"
"    Males","","","","","","","","","",""
"        Estimate","208,457","7,467","10,543","47,472","36,628","12,801","57,189","36,357","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.6%","5.1%","22.8%","17.6%","6.1%","27.4%","17.4%","91.4%","44.9%"
"    Females","","","","","","","","","",""
"        Estimate","228,470","7,842","8,501","57,853","38,363","17,000","58,166","40,745","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.4%","3.7%","25.3%","16.8%","7.4%","25.5%","17.8%","92.8%","43.3%"
"Morris County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","347,166","10,576","11,168","70,570","45,410","24,795","110,527","74,120","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.0%","3.2%","20.3%","13.1%","7.1%","31.8%","21.4%","93.7%","53.2%"
"    Males","","","","","","","","","",""
"        Estimate","166,911","3,844","6,016","34,217","22,273","10,336","51,016","39,209","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.3%","3.6%","20.5%","13.3%","6.2%","30.6%","23.5%","94.1%","54.1%"
"    Females","","","","","","","","","",""
"        Estimate","180,255","6,732","5,152","36,353","23,137","14,459","59,511","34,911","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.7%","2.9%","20.2%","12.8%","8.0%","33.0%","19.4%","93.4%","52.4%"
"Ocean County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","408,164","12,407","25,063","136,881","84,866","31,946","76,235","40,766","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.0%","6.1%","33.5%","20.8%","7.8%","18.7%","10.0%","90.8%","28.7%"
"    Males","","","","","","","","","",""
"        Estimate","190,850","5,708","14,776","58,802","42,001","13,102","36,448","20,013","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.0%","7.7%","30.8%","22.0%","6.9%","19.1%","10.5%","89.3%","29.6%"
"    Females","","","","","","","","","",""
"        Estimate","217,314","6,699","10,287","78,079","42,865","18,844","39,787","20,753","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.1%","4.7%","35.9%","19.7%","8.7%","18.3%","9.5%","92.2%","27.9%"
"Passaic County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","334,398","32,797","28,157","110,652","52,067","17,488","64,231","29,006","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","9.8%","8.4%","33.1%","15.6%","5.2%","19.2%","8.7%","81.8%","27.9%"
"    Males","","","","","","","","","",""
"        Estimate","159,362","15,414","13,978","54,215","24,394","6,571","30,645","14,145","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","9.7%","8.8%","34.0%","15.3%","4.1%","19.2%","8.9%","81.6%","28.1%"
"    Females","","","","","","","","","",""
"        Estimate","175,036","17,383","14,179","56,437","27,673","10,917","33,586","14,861","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.9%","8.1%","32.2%","15.8%","6.2%","19.2%","8.5%","82.0%","27.7%"
"Salem County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","43,935","1,434","4,395","17,344","8,144","4,401","5,626","2,591","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.3%","10.0%","39.5%","18.5%","10.0%","12.8%","5.9%","86.7%","18.7%"
"    Males","","","","","","","","","",""
"        Estimate","20,957","893","2,461","8,942","3,021","2,208","2,460","972","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.3%","11.7%","42.7%","14.4%","10.5%","11.7%","4.6%","84.0%","16.4%"
"    Females","","","","","","","","","",""
"        Estimate","22,978","541","1,934","8,402","5,123","2,193","3,166","1,619","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","8.4%","36.6%","22.3%","9.5%","13.8%","7.0%","89.2%","20.8%"
"Somerset County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","230,267","8,160","8,487","48,748","31,562","14,659","64,191","54,460","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.5%","3.7%","21.2%","13.7%","6.4%","27.9%","23.7%","92.8%","51.5%"
"    Males","","","","","","","","","",""
"        Estimate","109,233","3,564","3,214","23,720","15,691","6,091","29,245","27,708","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.3%","2.9%","21.7%","14.4%","5.6%","26.8%","25.4%","93.8%","52.1%"
"    Females","","","","","","","","","",""
"        Estimate","121,034","4,596","5,273","25,028","15,871","8,568","34,946","26,752","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.8%","4.4%","20.7%","13.1%","7.1%","28.9%","22.1%","91.8%","51.0%"
"Sussex County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","101,611","1,756","3,797","32,778","20,671","8,100","24,251","10,258","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.7%","3.7%","32.3%","20.3%","8.0%","23.9%","10.1%","94.5%","34.0%"
"    Males","","","","","","","","","",""
"        Estimate","49,844","1,123","1,869","16,682","10,149","3,546","11,274","5,201","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.3%","3.7%","33.5%","20.4%","7.1%","22.6%","10.4%","94.0%","33.1%"
"    Females","","","","","","","","","",""
"        Estimate","51,767","633","1,928","16,096","10,522","4,554","12,977","5,057","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.2%","3.7%","31.1%","20.3%","8.8%","25.1%","9.8%","95.1%","34.8%"
"Union County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","375,954","29,103","23,500","107,616","61,468","22,941","81,098","50,228","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.7%","6.3%","28.6%","16.3%","6.1%","21.6%","13.4%","86.0%","34.9%"
"    Males","","","","","","","","","",""
"        Estimate","179,352","14,973","11,813","51,865","29,791","10,146","35,685","25,079","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.3%","6.6%","28.9%","16.6%","5.7%","19.9%","14.0%","85.1%","33.9%"
"    Females","","","","","","","","","",""
"        Estimate","196,602","14,130","11,687","55,751","31,677","12,795","45,413","25,149","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","7.2%","5.9%","28.4%","16.1%","6.5%","23.1%","12.8%","86.9%","35.9%"
"Warren County, New Jersey","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","75,962","3,936","4,319","23,435","14,826","5,746","16,147","7,553","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.2%","5.7%","30.9%","19.5%","7.6%","21.3%","9.9%","89.1%","31.2%"
"    Males","","","","","","","","","",""
"        Estimate","36,942","2,313","2,276","11,376","7,565","2,132","8,448","2,832","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.3%","6.2%","30.8%","20.5%","5.8%","22.9%","7.7%","87.6%","30.5%"
"    Females","","","","","","","","","",""
"        Estimate","39,020","1,623","2,043","12,059","7,261","3,614","7,699","4,721","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.2%","5.2%","30.9%","18.6%","9.3%","19.7%","12.1%","90.6%","31.8%"
"Bernalillo County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","463,147","19,740","31,460","109,164","108,326","38,782","86,707","68,968","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.3%","6.8%","23.6%","23.4%","8.4%","18.7%","14.9%","88.9%","33.6%"
"    Males","","","","","","","","","",""
"        Estimate","222,711","9,580","14,330","55,327","48,626","18,913","41,621","34,314","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.3%","6.4%","24.8%","21.8%","8.5%","18.7%","15.4%","89.3%","34.1%"
"    Females","","","","","","","","","",""
"        Estimate","240,436","10,160","17,130","53,837","59,700","19,869","45,086","34,654","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.2%","7.1%","22.4%","24.8%","8.3%","18.8%","14.4%","88.6%","33.2%"
"Chaves County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","40,870","5,361","4,607","10,447","7,454","3,878","6,511","2,612","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","13.1%","11.3%","25.6%","18.2%","9.5%","15.9%","6.4%","75.6%","22.3%"
"    Males","","","","","","","","","",""
"        Estimate","19,872","3,610","2,136","5,384","3,520","1,327","2,895","1,000","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","18.2%","10.7%","27.1%","17.7%","6.7%","14.6%","5.0%","71.1%","19.6%"
"    Females","","","","","","","","","",""
"        Estimate","20,998","1,751","2,471","5,063","3,934","2,551","3,616","1,612","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","8.3%","11.8%","24.1%","18.7%","12.1%","17.2%","7.7%","79.9%","24.9%"
"Doña Ana County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","130,157","15,039","10,972","30,960","29,101","10,074","20,586","13,425","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","11.6%","8.4%","23.8%","22.4%","7.7%","15.8%","10.3%","80.0%","26.1%"
"    Males","","","","","","","","","",""
"        Estimate","63,275","7,103","6,739","15,191","14,371","4,170","9,169","6,532","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","11.2%","10.7%","24.0%","22.7%","6.6%","14.5%","10.3%","78.1%","24.8%"
"    Females","","","","","","","","","",""
"        Estimate","66,882","7,936","4,233","15,769","14,730","5,904","11,417","6,893","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","11.9%","6.3%","23.6%","22.0%","8.8%","17.1%","10.3%","81.8%","27.4%"
"Lea County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","41,761","7,040","5,474","12,300","8,104","2,882","4,272","1,689","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","16.9%","13.1%","29.5%","19.4%","6.9%","10.2%","4.0%","70.0%","14.3%"
"    Males","","","","","","","","","",""
"        Estimate","21,132","3,153","3,375","6,756","4,247","1,252","1,545","804","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","14.9%","16.0%","32.0%","20.1%","5.9%","7.3%","3.8%","69.1%","11.1%"
"    Females","","","","","","","","","",""
"        Estimate","20,629","3,887","2,099","5,544","3,857","1,630","2,727","885","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","18.8%","10.2%","26.9%","18.7%","7.9%","13.2%","4.3%","71.0%","17.5%"
"McKinley County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","44,598","4,565","7,363","15,187","10,115","2,994","2,312","2,062","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","10.2%","16.5%","34.1%","22.7%","6.7%","5.2%","4.6%","73.3%","9.8%"
"    Males","","","","","","","","","",""
"        Estimate","20,063","1,859","3,400","7,345","4,615","1,053","1,204","587","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","9.3%","16.9%","36.6%","23.0%","5.2%","6.0%","2.9%","73.8%","8.9%"
"    Females","","","","","","","","","",""
"        Estimate","24,535","2,706","3,963","7,842","5,500","1,941","1,108","1,475","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","11.0%","16.2%","32.0%","22.4%","7.9%","4.5%","6.0%","72.8%","10.5%"
"Otero County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","43,247","2,212","3,841","12,436","12,146","4,822","4,532","3,258","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.1%","8.9%","28.8%","28.1%","11.1%","10.5%","7.5%","86.0%","18.0%"
"    Males","","","","","","","","","",""
"        Estimate","21,856","1,108","2,295","6,069","6,958","1,798","1,912","1,716","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.1%","10.5%","27.8%","31.8%","8.2%","8.7%","7.9%","84.4%","16.6%"
"    Females","","","","","","","","","",""
"        Estimate","21,391","1,104","1,546","6,367","5,188","3,024","2,620","1,542","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.2%","7.2%","29.8%","24.3%","14.1%","12.2%","7.2%","87.6%","19.5%"
"Sandoval County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","97,355","2,904","7,989","21,426","23,672","10,509","18,023","12,832","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.0%","8.2%","22.0%","24.3%","10.8%","18.5%","13.2%","88.8%","31.7%"
"    Males","","","","","","","","","",""
"        Estimate","46,911","1,869","4,373","10,842","11,230","4,694","8,962","4,941","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.0%","9.3%","23.1%","23.9%","10.0%","19.1%","10.5%","86.7%","29.6%"
"    Females","","","","","","","","","",""
"        Estimate","50,444","1,035","3,616","10,584","12,442","5,815","9,061","7,891","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.1%","7.2%","21.0%","24.7%","11.5%","18.0%","15.6%","90.8%","33.6%"
"San Juan County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","75,728","4,556","6,546","21,690","22,690","7,699","6,873","5,674","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.0%","8.6%","28.6%","30.0%","10.2%","9.1%","7.5%","85.3%","16.6%"
"    Males","","","","","","","","","",""
"        Estimate","37,216","2,048","3,188","12,123","10,826","3,515","2,787","2,729","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.5%","8.6%","32.6%","29.1%","9.4%","7.5%","7.3%","85.9%","14.8%"
"    Females","","","","","","","","","",""
"        Estimate","38,512","2,508","3,358","9,567","11,864","4,184","4,086","2,945","(X)","(X)"
"    Percent Females","","","","","","","","","",""
